Turbidity,Site 1,Site 2 ,Site 3,
9/17/20-pre,3,0,0.3,1.73108829
10/2/20-pre,0,0,0,1.228626798
10/10/20-pre,4.3,2,0.7,1.32521337
11/6/20-pre,0.7,0,0,
11/13/20-post,3,2.7,3.3,
1/21/21-pre,0,0.3,0,
2/19/21-post,3,2.3,2.3,
,,,,
,,,,
Nitrate,Site 1,Site 2,Site 3,
9/17/20-pre,2.1,2.9,1.6,0.502849026
10/2/20-pre,2.2,2.4,2.1,0.531395288
10/10/20-pre,1.3,1.8,0.8,0.581459576
11/6/20-pre,2.1,1.6,1.4,
11/13/20-post,1.5,1.6,0.7,
1/21/21-pre,2.7,1.4,1,
2/19/21-post,2.5,1.8,2.1,
,,,,
,,,,
pH,Site 1,Site 2,Site 3,
9/17/20-pre,7.2,7.2,7.2,
10/2/20-pre,7.1,7.3,7.3,
10/10/20-pre,7.2,7.3,7.3,
11/6/20-pre,7.3,7.3,7.4,
11/13/20-post,7.3,7.4,7.4,
1/21/21-pre,7.4,7.4,7.3,
2/19/21-post,7.2,7.4,7.4,
,,,,
,,,,
,,,,
Phosphorus,Site 1 ,Site 2,Site 3,
9/17/20-pre,5.6,6.3,6.1,
10/2/20-pre,3.5,5,5.5,
10/10/20-pre,3.5,3.8,3.9,
11/6/20-pre,4.1,3.8,3.8,
11/13/20-post,3.3,2.6,2.7,
1/21/21-pre,4.3,4.2,3.7,
2/19/21-post,4.2,3.6,4.5,
,,,,
,,,,
,,,,
DO,Site 1,Site 2,Site 3,
9/17/20-pre,9.7,11,10.7,
10/2/20-pre,10.3,10.7,11.3,
10/10/20-pre,8.7,10,10,
11/6/20-pre,11.3,11,11.3,
11/13/20-post,10,11.3,10,
1/21/21-pre,10.7,11,11,
2/19/21-post,11.3,11,11.3,
,,,,
,,,,
,,,,
Potassium,Site 1,Site 2,Site 3,
9/17/20-pre,3.3,2.6,2.7,
10/2/20-pre,3.3,3,3.2,
10/10/20-pre,3.3,2.8,2.8,
11/6/20-pre,3.4,2.6,2.5,
11/13/20-post,3.1,2.7,2.4,
1/21/21-pre,3.3,2.9,2.7,
2/19/21-post,3.6,2.6,2.6,
,,,,
,,,,
11/7/20 first rain event ,,,,
1/29/21 second recorded rain event,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
